flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,1579653,137007,202011,2,16,2015-12-27 14:03:01,det,2015-12-27 14:46:01,5,0,6,5,4,5,2,79.0,58.0,176.0
0,2015-12-27,bdp_java,Android,1579653,1575090,202011,1,13,2015-12-27 13:25:45,addf,2015-12-27 14:04:34,23,5,2,46,24,10,0,79.0,58.0,80.0
0,2015-12-27,bdp_java,Android,1579653,1575090,202011,1,13,2015-12-27 13:25:45,det,2015-12-27 14:04:16,23,5,2,46,24,10,0,79.0,58.0,80.0
0,2015-12-27,bdp_java,Android,1579653,3291754,202011,1,4,2015-12-27 13:25:45,addf,2015-12-27 13:49:09,74,101,368,155,76,47,4,79.0,58.0,45.0
0,2015-12-27,bdp_java,Android,1579653,3291754,202011,1,4,2015-12-27 13:25:45,chat,2015-12-27 13:50:27,74,104,371,157,76,47,4,79.0,58.0,45.0
0,2015-12-27,bdp_java,Android,1579653,3291754,202011,1,4,2015-12-27 13:25:45,det,2015-12-27 13:49:03,74,101,368,155,76,47,3,79.0,58.0,45.0
0,2015-12-27,bdp_java,Android,1579653,3603336,202011,1,1,2015-12-27 13:25:45,addf,2015-12-27 13:35:59,21,0,10,19,13,15,4,79.0,58.0,34.0
0,2015-12-27,bdp_java,Android,1579653,3603336,202011,1,1,2015-12-27 13:25:45,det,2015-12-27 13:32:16,21,0,10,19,13,15,4,79.0,58.0,34.0
0,2015-12-27,bdp_java,Android,1579653,3632081,202011,1,6,2015-12-27 13:25:45,det,2015-12-27 13:58:58,8,0,4,12,13,1,1,79.0,58.0,33.0
0,2015-12-27,bdp_java,Android,1579653,3713234,202011,1,2,2015-12-27 13:25:45,det,2015-12-27 13:36:29,4,0,12,0,3,0,0,79.0,58.0,29.0
0,2015-12-27,bdp_java,Android,1579653,4081785,202011,1,5,2015-12-27 13:25:45,det,2015-12-27 13:49:29,133,45,107,102,39,41,20,79.0,58.0,13.0
0,2015-12-27,bdp_java,Android,1579653,4332048,202011,1,8,2015-12-27 13:25:45,det,2015-12-27 13:58:05,17,0,8,16,1,2,0,79.0,58.0,5.0
0,2015-12-27,bdp_java,Android,1579653,4453713,202011,1,12,2015-12-27 13:25:45,det,2015-12-27 13:59:49,2,0,0,1,5,0,0,79.0,58.0,0.0
0,2015-12-27,bdp_java,Android,1579653,4453713,202011,1,12,2015-12-27 13:25:45,det,2015-12-27 14:04:07,2,0,0,1,5,0,0,79.0,58.0,0.0
0,2015-12-27,bdp_java,Android,1579653,47165,202011,1,7,2015-12-27 13:25:45,addf,2015-12-27 13:58:57,25,5,23,13,31,4,0,79.0,58.0,273.0
0,2015-12-27,bdp_java,Android,1579653,47165,202011,1,7,2015-12-27 13:25:45,chat,2015-12-27 16:30:31,28,9,34,15,36,5,0,79.0,58.0,273.0
0,2015-12-27,bdp_java,Android,1579653,47165,202011,1,7,2015-12-27 13:25:45,det,2015-12-27 13:58:30,25,5,23,13,31,4,0,79.0,58.0,273.0
0,2015-12-27,bdp_java,Android,1597407,121926,167921,1,1,2015-12-27 11:09:44,det,2015-12-27 11:39:38,5,0,4,1,3,0,0,75.0,75.0,186.0
